ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
tet(40)	3000567	protein homolog model	Resistomes & Variants	4	96.8 - 98.77	YES	NO	Faecalibacterium prausnitzii; Clostridioides difficile; Enterocloster clostridioformis; Streptococcus suis	19.00	0.00	19.00	35.01	429.25	188.60	0	0	0	0	N/A	N/A		1239; 1221; 1221; 1221	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
RbpA	3000245	protein homolog model	Resistomes & Variants	1	86.49	NO	NO	Rhodococcus rhodochrous	7.00	0.00	7.00	96.17	326.00	76.71	0	0	0	0	N/A	N/A		339	RbpA bacterial RNA polymerase-binding protein	rifamycin antibiotic	antibiotic target protection
sepA	3007012	protein homolog model	Resistomes & Variants	7	62.58 - 75.66	YES	NO	Staphylococcus hominis; Staphylococcus warneri; Staphylococcus simulans; Staphylococcus epidermidis; Staphylococcus equorum	52.00	0.00	52.00	15.56	72.86	57.45	0	0	0	0	N/A	N/A		519; 468; 468; 468; 468; 468; 453	small multidrug resistance (SMR) antibiotic efflux pump	disinfecting agents and antiseptics	antibiotic efflux
Staphylococcus aureus mupA conferring resistance to mupirocin	3000521	protein homolog model	Resistomes & Variants	1	99.22	NO	NO	Staphylococcus aureus; Staphylococcus haemolyticus; Staphylococcus hominis	4.00	0.00	4.00	6.31	194.00	114.25	0	0	0	0	N/A	N/A		3075	antibiotic-resistant isoleucyl-tRNA synthetase (ileS)	mupirocin-like antibiotic	antibiotic target alteration
sdrM	3007013	protein homolog model	Resistomes & Variants	9	57.7 - 99.48	YES	NO	Staphylococcus hominis; Staphylococcus saprophyticus; Staphylococcus warneri; Staphylococcus capitis; Staphylococcus equorum; Staphylococcus aureus; Staphylococcus arlettae	31.00	0.00	31.00	7.45	93.33	86.19	0	0	0	0	N/A	N/A		1341; 1341; 1338; 1332; 1347; 1341; 1341; 585; 1329	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux
macB	3000535	protein homolog model	Resistomes & Variants	1	100.0	YES	NO	Neisseria gonorrhoeae	54.00	0.00	54.00	56.49	1093.00	101.02	0	0	0	0	N/A	N/A		1935	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
efpA	3003955	protein homolog model	Resistomes & Variants	2	100.0	YES	NO	Mycobacterium tuberculosis	10.00	0.00	10.00	28.09	447.50	133.44	0	0	0	0	N/A	N/A		1593; 1593	major facilitator superfamily (MFS) antibiotic efflux pump	rifamycin antibiotic; isoniazid-like antibiotic	antibiotic efflux
Enterobacter cloacae acrA	3004042	protein homolog model	Resistomes & Variants	1	100.0	NO	NO	Enterobacter roggenkampii	1.00	0.00	1.00	12.56	150.00	165.00	0	0	0	0	N/A	N/A		1194	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
lin	3004651	protein homolog model	Resistomes & Variants	1	98.66	NO	NO	Listeria monocytogenes	2.00	0.00	2.00	3.31	52.00	45.00	0	0	0	0	N/A	N/A		1572	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation
vanXY gene in vanG cluster	3003069	protein homolog model	Resistomes & Variants	1	45.31	NO	NO	Erysipelatoclostridium ramosum	3.00	0.00	3.00	4.69	27.00	49.33	0	0	0	0	N/A	N/A		576	glycopeptide resistance gene cluster; vanXY	glycopeptide antibiotic	antibiotic target alteration
eptB	3005047	protein homolog model	Resistomes & Variants	3	89.33 - 89.87	NO	NO	Klebsiella oxytoca; Klebsiella michiganensis	6.00	0.00	6.00	10.36	175.00	135.00	0	0	0	0	N/A	N/A		1689; 1689; 1689	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
tap	3000343	protein homolog model	Resistomes & Variants	1	95.54	NO	NO	Mycolicibacterium septicum	3.00	0.00	3.00	18.80	234.00	126.67	0	0	0	0	N/A	N/A		1245	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
AAC(2')-Ib	3002524	protein homolog model	Resistomes & Variants	1	90.77	NO	NO	Mycolicibacterium septicum	7.00	0.00	7.00	66.67	392.00	135.00	0	0	0	0	N/A	N/A		588	AAC(2')	aminoglycoside antibiotic	antibiotic inactivation
vanH gene in vanA cluster	3002942	protein homolog model	Resistomes & Variants	1	36.77	YES	NO	Pseudomonas chlororaphis	14.00	0.00	14.00	59.90	593.00	91.36	0	0	0	0	N/A	N/A		990	vanH; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
mdtP	3003550	protein homolog model	Resistomes & Variants	1	97.91	NO	NO	Shigella sonnei	3.00	0.00	3.00	7.55	247.00	155.33	0	0	0	0	N/A	N/A		3273	major facilitator superfamily (MFS) antibiotic efflux pump	nucleoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux
AAC(6')-Ii	3002556	protein homolog model	Resistomes & Variants	1	98.9	YES	NO	Enterococcus faecium	2.00	0.00	2.00	31.69	174.00	200.00	0	0	0	0	N/A	N/A		549	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
FosI	3007370	protein homolog model	Resistomes & Variants	1	43.93	NO	NO	Enterococcus faecium	2.00	0.00	2.00	21.33	96.00	160.00	0	0	0	0	N/A	N/A		450	fosfomycin thiol transferase	phosphonic acid antibiotic	antibiotic inactivation
ErmA	3000347	protein homolog model	Resistomes & Variants	1	84.77	NO	NO	Enterococcus faecium	3.00	0.00	3.00	31.97	235.00	148.67	0	0	0	0	N/A	N/A		735	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration
tet(M)	3000186	protein homolog model	Resistomes & Variants	3	92.64 - 99.06	YES	NO	Enterococcus faecium; Streptococcus agalactiae	11.00	0.00	11.00	14.49	278.67	193.33	0	0	0	0	N/A	N/A		1920; 1920; 1926	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
tet(36)	3000197	protein homolog model	Resistomes & Variants	1	34.31	NO	NO	Enterococcus faecium; Enterococcus faecalis	4.00	0.00	4.00	15.16	282.00	193.50	0	0	0	0	N/A	N/A		1860	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
ErmT	3000595	protein homolog model	Resistomes & Variants	3	98.35 - 99.17	NO	NO	Enterococcus faecium; Streptococcus suis; Staphylococcus aureus	12.00	0.00	12.00	18.51	152.67	171.58	0	0	0	0	N/A	N/A		771; 924; 798	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration
mef(H)	3007047	protein homolog model	Resistomes & Variants	1	100.0	NO	NO	Enterococcus faecium	6.00	0.00	6.00	12.08	149.00	65.67	0	0	0	0	N/A	N/A		1233	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
ErmB	3000375	protein homolog model	Resistomes & Variants	2	87.31 - 97.86	NO	YES	Enterococcus faecium; Enterococcus faecalis	4.00	0.00	4.00	19.62	165.00	100.00	0	0	0	0	N/A	N/A		828; 855	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration
ANT(9)-Ia	3002630	protein homolog model	Resistomes & Variants	1	100.0	NO	NO	Enterococcus faecium	2.00	0.00	2.00	38.31	300.00	200.00	0	0	0	0	N/A	N/A		783	ANT(9)	aminoglycoside antibiotic	antibiotic inactivation
lsaE	3003206	protein homolog model	Resistomes & Variants	1	99.17	NO	NO	Enterococcus faecium	13.00	0.00	13.00	29.20	424.00	85.15	0	0	0	0	N/A	N/A		1452	lsa-type ABC-F protein	lincosamide antibiotic; streptogramin antibiotic; pleuromutilin antibiotic	antibiotic target protection
aadA10	3004692	protein homolog model	Resistomes & Variants	1	99.63	NO	NO	Enterobacter hormaechei	1.00	0.00	1.00	10.52	95.00	176.00	0	0	0	0	N/A	N/A		903	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
lnuA	3002835	protein homolog model	Resistomes & Variants	4	92.55 - 99.38	NO	NO	Macrococcus canis; Streptococcus suis; Staphylococcus aureus	37.00	0.00	37.00	51.04	337.25	150.06	0	0	0	0	N/A	N/A		618; 708; 651; 534	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation
nimG	3007109	protein homolog model	Resistomes & Variants	1	80.75	NO	NO	Phocaeicola dorei	1.00	0.00	1.00	4.50	22.00	34.00	0	0	0	0	N/A	N/A		489	nitroimidazole reductase	nitroimidazole antibiotic	antibiotic inactivation
rpoB2	3000501	protein homolog model	Resistomes & Variants	6	96.66 - 99.91	YES	YES	Nocardia farcinica	488.00	0.00	488.00	35.99	1292.00	139.96	0	0	0	0	N/A	N/A		3594; 3594; 3594; 3582; 3582; 3582	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement
Nocardia farcinica rox	3007210	protein homolog model	Resistomes & Variants	1	99.79	NO	NO	Nocardia farcinica	32.00	0.00	32.00	65.61	933.00	103.88	0	0	0	0	N/A	N/A		1422	rifampin monooxygenase	rifamycin antibiotic	antibiotic inactivation
AAC(6')-Ie-APH(2'')-Ia bifunctional protein	3002597	protein homolog model	Resistomes & Variants	3	98.44 - 100.0	NO	NO	Staphylococcus epidermidis; Staphylococcus aureus	16.00	0.00	16.00	12.19	195.33	162.30	0	0	0	0	N/A	N/A		1743; 1458; 1446	aminoglycoside bifunctional resistance protein	aminoglycoside antibiotic	antibiotic inactivation
norC	3007010	protein homolog model	Resistomes & Variants	3	62.42 - 98.92	NO	NO	Staphylococcus epidermidis; Staphylococcus aureus	5.00	0.00	5.00	6.52	92.00	91.33	0	0	0	0	N/A	N/A		1401; 1389; 1467	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux
dfrC	3002865	protein homolog model	Resistomes & Variants	1	98.14	NO	NO	Staphylococcus epidermidis	3.00	0.00	3.00	46.67	238.00	152.00	0	0	0	0	N/A	N/A		510	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
PFM-3	3006967	protein homolog model	Resistomes & Variants	1	98.42	NO	NO	Pseudomonas fluorescens	1.00	0.00	1.00	2.15	17.00	23.00	0	0	0	0	N/A	N/A		792	PFM beta-lactamase	carbapenem	antibiotic inactivation
vanY gene in vanG cluster	3002959	protein homolog model	Resistomes & Variants	2	32.73 - 42.05	NO	NO	Paenibacillus mucilaginosus; Streptococcus gordonii	67.00	0.00	67.00	14.57	126.00	67.66	0	0	0	0	N/A	N/A		870; 798	vanY; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
Klebsiella pneumoniae OmpK37	3004122	protein homolog model	Resistomes & Variants	1	95.72	NO	NO	Klebsiella quasipneumoniae	2.00	0.00	2.00	16.62	187.00	141.00	0	0	0	0	N/A	N/A		1125	General Bacterial Porin with reduced permeability to beta-lactams	monobactam; carbapenem; cephalosporin; penicillin beta-lactam	reduced permeability to antibiotic
tet(33)	3000478	protein homolog model	Resistomes & Variants	1	99.75	YES	NO	Trueperella pyogenes	16.00	0.00	16.00	75.24	948.00	197.25	0	0	0	0	N/A	N/A		1260	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
tet(Z)	3000183	protein homolog model	Resistomes & Variants	1	99.74	NO	NO	Trueperella pyogenes	42.00	0.00	42.00	100.00	1230.00	192.02	0	0	0	0	N/A	N/A		1230	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
lnuB	3002836	protein homolog model	Resistomes & Variants	2	96.25 - 97.75	NO	NO	Streptococcus suis	4.00	0.00	4.00	12.25	98.50	172.25	0	0	0	0	N/A	N/A		804; 804	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation
ANT(6)-Ia	3002626	protein homolog model	Resistomes & Variants	5	99.65 - 100.0	YES	NO	Streptococcus suis; Streptococcus agalactiae; Campylobacter jejuni; Enterococcus faecalis	14.00	0.00	14.00	30.33	167.00	184.28	0	0	0	0	N/A	N/A		864; 864; 864; 231; 522	ANT(6)	aminoglycoside antibiotic	antibiotic inactivation
aad(6)	3002628	protein homolog model	Resistomes & Variants	2	100.0	NO	NO	Streptococcus suis; Roseburia hominis	11.00	0.00	11.00	54.78	431.00	188.47	0	0	0	0	N/A	N/A		909; 678	ANT(6)	aminoglycoside antibiotic	antibiotic inactivation
MexW	3003031	protein homolog model	Resistomes & Variants	4	99.71 - 99.8	YES	NO	Pseudomonas aeruginosa	10.00	0.00	10.00	6.41	195.75	150.77	0	0	0	0	N/A	N/A		3057; 3057; 3057; 3057	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
TriC	3003681	protein homolog model	Resistomes & Variants	5	99.21 - 99.8	NO	NO	Pseudomonas aeruginosa	77.00	0.00	77.00	29.24	891.40	134.69	0	0	0	0	N/A	N/A		3048; 3048; 3048; 3048; 3048	resistance-nodulation-cell division (RND) antibiotic efflux pump	disinfecting agents and antiseptics	antibiotic efflux
MuxB	3004074	protein homolog model	Resistomes & Variants	12	99.33 - 100.0	YES	NO	Pseudomonas aeruginosa	123.00	0.00	123.00	9.44	295.58	134.66	0	0	0	0	N/A	N/A		3132; 3132; 3132; 3132; 3132; 3132; 3132; 3132; 3132; 3132; 3132; 3132	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic	antibiotic efflux
Pseudomonas aeruginosa emrE	3004038	protein homolog model	Resistomes & Variants	1	100.0	NO	NO	Pseudomonas aeruginosa	37.00	0.00	37.00	70.89	721.00	83.73	0	0	0	0	N/A	N/A		1017	small multidrug resistance (SMR) antibiotic efflux pump	aminoglycoside antibiotic	antibiotic efflux
PDC-97	3006850	protein homolog model	Resistomes & Variants	1	99.24	NO	NO	Pseudomonas aeruginosa	2.00	0.00	2.00	12.83	157.00	187.50	0	0	0	0	N/A	N/A		1224	PDC beta-lactamase	monobactam; carbapenem; cephalosporin	antibiotic inactivation
mexN	3003705	protein homolog model	Resistomes & Variants	1	99.61	NO	NO	Pseudomonas aeruginosa	109.00	0.00	109.00	51.88	1614.00	114.37	0	0	0	0	N/A	N/A		3111	resistance-nodulation-cell division (RND) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
ParR	3005068	protein homolog model	Resistomes & Variants	1	100.0	NO	NO	Pseudomonas aeruginosa	1.00	0.00	1.00	2.68	19.00	34.00	0	0	0	0	N/A	N/A		708	resistance-nodulation-cell division (RND) antibiotic efflux pump; Outer Membrane Porin (Opr)	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; penicillin beta-lactam; tetracycline antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux; reduced permeability to antibiotic
MuxA	3004073	protein homolog model	Resistomes & Variants	2	99.77	NO	NO	Pseudomonas aeruginosa	3.00	0.00	3.00	11.82	151.50	180.00	0	0	0	0	N/A	N/A		1281; 1281	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic	antibiotic efflux
MexK	3003693	protein homolog model	Resistomes & Variants	5	98.73 - 99.9	YES	NO	Pseudomonas aeruginosa	69.00	0.00	69.00	19.31	594.20	118.40	0	0	0	0	N/A	N/A		3078; 3078; 3078; 3078; 3078	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics	antibiotic efflux
Pseudomonas aeruginosa CpxR	3004054	protein homolog model	Resistomes & Variants	2	98.67 - 99.56	YES	NO	Pseudomonas aeruginosa	45.00	0.00	45.00	49.04	332.50	89.51	0	0	0	0	N/A	N/A		678; 678	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; penicillin beta-lactam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic	antibiotic efflux
MexB	3000378	protein homolog model	Resistomes & Variants	5	98.37 - 99.81	YES	NO	Pseudomonas aeruginosa	17.00	0.00	17.00	10.63	333.80	153.37	0	0	0	0	N/A	N/A		3141; 3141; 3141; 3135; 3141	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; penicillin beta-lactam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic	antibiotic efflux
AAC(3)-IIb	3002534	protein homolog model	Resistomes & Variants	1	74.91	NO	NO	Pseudomonas aeruginosa	478.00	0.00	478.00	61.98	1270.00	107.06	0	0	0	0	N/A	N/A		2049	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
MexL	3003710	protein homolog model	Resistomes & Variants	1	99.53	NO	NO	Pseudomonas aeruginosa	1.00	0.00	1.00	2.66	17.00	23.00	0	0	0	0	N/A	N/A		639	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics	antibiotic efflux
PmpM	3004077	protein homolog model	Resistomes & Variants	2	98.95 - 99.58	YES	NO	Pseudomonas aeruginosa	5.00	0.00	5.00	18.03	258.50	139.84	0	0	0	0	N/A	N/A		1434; 1434	multidrug and toxic compound extrusion (MATE) transporter	fluoroquinolone antibiotic; aminoglycoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux
MuxC	3004075	protein homolog model	Resistomes & Variants	4	99.9 - 100.0	NO	NO	Pseudomonas aeruginosa	188.00	0.00	188.00	23.92	1225.50	117.89	0	0	0	0	N/A	N/A		3111; 3111; 6237; 3111	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic	antibiotic efflux
arnA	3002985	protein homolog model	Resistomes & Variants	6	98.63 - 99.7	YES	NO	Pseudomonas aeruginosa	47.00	0.00	47.00	12.07	385.33	114.60	0	0	0	0	N/A	N/A		4518; 3003; 1989; 1989; 1989; 1989	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
MexA	3000377	protein homolog model	Resistomes & Variants	1	99.22	NO	NO	Pseudomonas aeruginosa	2.00	0.00	2.00	14.90	173.00	200.00	0	0	0	0	N/A	N/A		1161	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; penicillin beta-lactam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic	antibiotic efflux
bcr-1	3003801	protein homolog model	Resistomes & Variants	3	99.34 - 100.0	NO	NO	Pseudomonas aeruginosa	310.00	0.00	310.00	13.64	198.33	66.98	0	0	0	0	N/A	N/A		939; 1851; 1086	major facilitator superfamily (MFS) antibiotic efflux pump	bicyclomycin-like antibiotic	antibiotic efflux
OpmH	3003682	protein homolog model	Resistomes & Variants	3	98.13 - 100.0	NO	NO	Pseudomonas aeruginosa	22.00	0.00	22.00	17.36	276.67	102.76	0	0	0	0	N/A	N/A		1449; 1446; 1641	resistance-nodulation-cell division (RND) antibiotic efflux pump	disinfecting agents and antiseptics	antibiotic efflux
MexI	3000808	protein homolog model	Resistomes & Variants	1	99.81	NO	NO	Pseudomonas aeruginosa	1.00	0.00	1.00	4.85	150.00	154.00	0	0	0	0	N/A	N/A		3090	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics	antibiotic efflux
MexE	3000803	protein homolog model	Resistomes & Variants	1	98.79	NO	NO	Pseudomonas aeruginosa	10.00	0.00	10.00	37.91	472.00	112.00	0	0	0	0	N/A	N/A		1245	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux
OXA-210	3001487	protein homolog model	Resistomes & Variants	1	99.64	NO	NO	Pseudomonas aeruginosa	2.00	0.00	2.00	18.49	157.00	199.00	0	0	0	0	N/A	N/A		849	OXA beta-lactamase; OXA-2-like beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation
MexD	3000801	protein homolog model	Resistomes & Variants	1	92.95	YES	NO	Pseudomonas aeruginosa	5.00	0.00	5.00	11.17	350.00	142.80	0	0	0	0	N/A	N/A		3132	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penicillin beta-lactam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux
OprJ	3000802	protein homolog model	Resistomes & Variants	1	97.08	NO	NO	Pseudomonas aeruginosa	1.00	0.00	1.00	10.44	150.00	147.00	0	0	0	0	N/A	N/A		1437	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penicillin beta-lactam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux
ugd	3003577	protein homolog model	Resistomes & Variants	1	96.13	NO	NO	Escherichia marmotae	4.00	0.00	4.00	21.77	254.00	107.75	0	0	0	0	N/A	N/A		1167	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
mtrD	3000811	protein homolog model	Resistomes & Variants	1	100.0	NO	NO	Neisseria meningitidis	8.00	0.00	8.00	16.35	524.00	116.25	0	0	0	0	N/A	N/A		3204	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
smeR	3003066	protein homolog model	Resistomes & Variants	1	99.56	NO	NO	Stenotrophomonas maltophilia	2.00	0.00	2.00	23.77	164.00	184.50	0	0	0	0	N/A	N/A		690	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic; cephalosporin; penicillin beta-lactam	antibiotic efflux
smeD	3003055	protein homolog model	Resistomes & Variants	1	100.0	NO	NO	Stenotrophomonas maltophilia	2.00	0.00	2.00	21.18	251.00	151.50	0	0	0	0	N/A	N/A		1185	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic	antibiotic efflux
aadA11	3002611	protein homolog model	Resistomes & Variants	2	97.14 - 99.64	YES	YES	Stenotrophomonas maltophilia; Enterobacter kobei	14.00	0.00	14.00	11.63	98.50	127.58	0	0	0	0	N/A	N/A		849; 846	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
ANT(2'')-Ia	3000230	protein homolog model	Resistomes & Variants	1	100.0	NO	NO	Stenotrophomonas maltophilia	11.00	0.00	11.00	31.70	388.00	149.27	0	0	0	0	N/A	N/A		1224	ANT(2'')	aminoglycoside antibiotic	antibiotic inactivation
FosB4	3004671	protein homolog model	Resistomes & Variants	1	98.56	NO	NO	Staphylococcus capitis	4.00	0.00	4.00	41.01	187.00	128.00	0	0	0	0	N/A	N/A		456	fosfomycin thiol transferase	phosphonic acid antibiotic	antibiotic inactivation
lsaD	3005121	protein homolog model	Resistomes & Variants	1	94.05	YES	NO	Lactococcus garvieae	1.00	0.00	1.00	1.16	17.00	23.00	0	0	0	0	N/A	N/A		1467	lsa-type ABC-F protein	lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; pleuromutilin antibiotic	antibiotic target protection
SRT-2	3002494	protein homolog model	Resistomes & Variants	1	97.08	YES	NO	Serratia marcescens	3.00	0.00	3.00	14.25	162.00	92.33	0	0	0	0	N/A	N/A		1137	SRT beta-lactamase	cephalosporin	antibiotic inactivation
cfr(D)	3005021	protein homolog model	Resistomes & Variants	1	99.72	NO	NO	Enterococcus faecalis	4.00	0.00	4.00	16.01	207.00	165.25	0	0	0	0	N/A	N/A		1293	Cfr 23S ribosomal RNA methyltransferase	lincosamide antibiotic; streptogramin antibiotic; oxazolidinone antibiotic; glycopeptide antibiotic; phenicol antibiotic	antibiotic target alteration
catA8	3004658	protein homolog model	Resistomes & Variants	1	96.74	NO	NO	Enterococcus faecalis	4.00	0.00	4.00	5.20	34.00	36.75	0	0	0	0	N/A	N/A		654	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
RlmA(II)	3001301	protein homolog model	Resistomes & Variants	1	99.29	NO	NO	Streptococcus pneumoniae	2.00	0.00	2.00	32.27	274.00	161.50	0	0	0	0	N/A	N/A		849	non-erm 23S ribosomal RNA methyltransferase (G748)	macrolide antibiotic; lincosamide antibiotic	antibiotic target alteration
mecA	3000617	protein homolog model	Resistomes & Variants	1	99.1	NO	NO	Staphylococcus aureus	3.00	0.00	3.00	13.70	275.00	90.33	0	0	0	0	N/A	N/A		2007	methicillin resistant PBP2	penicillin beta-lactam	antibiotic target replacement
mgrA	3000815	protein homolog model	Resistomes & Variants	3	100.0	YES	NO	Staphylococcus aureus	10.00	0.00	10.00	17.38	76.33	52.71	0	0	0	0	N/A	N/A		444; 429; 444	ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; penicillin beta-lactam; tetracycline antibiotic; peptide antibiotic; disinfecting agents and antiseptics	antibiotic efflux
arlS	3000839	protein homolog model	Resistomes & Variants	1	100.0	NO	NO	Staphylococcus aureus	5.00	0.00	5.00	16.96	230.00	76.00	0	0	0	0	N/A	N/A		1356	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux
MecC-type methicillin resistance repressor MecI	3005046	protein homolog model	Resistomes & Variants	1	99.19	YES	NO	Staphylococcus aureus	20.00	0.00	20.00	17.07	64.00	39.65	0	0	0	0	N/A	N/A		375	methicillin resistant PBP2	penicillin beta-lactam	antibiotic target replacement
fusC	3003733	protein homolog model	Resistomes & Variants	2	98.11 - 100.0	NO	NO	Staphylococcus aureus	3.00	0.00	3.00	20.45	132.00	160.00	0	0	0	0	N/A	N/A		654; 639	Target protecting FusB-type protein conferring resistance to Fusidic acid	fusidane antibiotic	antibiotic target protection
